model,family,task,split,arch,k,acc,tokens,config
0.5B,arc,arc-0000,calib,single,1,0.0,143.0,
0.5B,arc,arc-0000,calib,vote,4,0.0,487.0,vote_k4
0.5B,arc,arc-0000,calib,oracle,4,0.0,487.0,oracle_k4
0.5B,arc,arc-0000,calib,judge,4,0.0,767.5,judge_k4
0.5B,arc,arc-0000,calib,vote,8,0.0,938.0,vote_k8
0.5B,arc,arc-0000,calib,oracle,8,0.0,938.0,oracle_k8
0.5B,arc,arc-0000,calib,judge,8,0.0,1344.0,judge_k8
0.5B,arc,arc-0000,calib,seq,1,0.0,143.0,seq_r1
0.5B,arc,arc-0000,calib,seq,2,0.0,374.0,seq_r2
0.5B,arc,arc-0000,calib,seq,3,0.0,555.0,seq_r3
0.5B,arc,arc-0000,calib,seq,4,0.0,776.0,seq_r4
0.5B,arc,arc-0000,calib,long,2,0.0,454.0,long_m2
0.5B,arc,arc-0000,calib,long,4,0.0,454.0,long_m4
0.5B,arc,arc-0000,calib,debate,6,0.0,1194.0,debate_a3r2
0.5B,arc,arc-0001,calib,single,1,1.0,57.0,
0.5B,arc,arc-0001,calib,vote,4,1.0,238.0,vote_k4
0.5B,arc,arc-0001,calib,oracle,4,1.0,238.0,oracle_k4
0.5B,arc,arc-0001,calib,judge,4,1.0,366.0,judge_k4
0.5B,arc,arc-0001,calib,vote,8,1.0,483.0,vote_k8
0.5B,arc,arc-0001,calib,oracle,8,1.0,483.0,oracle_k8
0.5B,arc,arc-0001,calib,judge,8,1.0,662.0,judge_k8
0.5B,arc,arc-0001,calib,seq,1,1.0,57.0,seq_r1
0.5B,arc,arc-0001,calib,seq,2,1.0,149.0,seq_r2
0.5B,arc,arc-0001,calib,seq,3,1.0,240.0,seq_r3
0.5B,arc,arc-0001,calib,seq,4,1.0,331.0,seq_r4
0.5B,arc,arc-0001,calib,long,2,1.0,89.0,long_m2
0.5B,arc,arc-0001,calib,long,4,1.0,89.0,long_m4
0.5B,arc,arc-0001,calib,debate,6,1.0,463.0,debate_a3r2
0.5B,arc,arc-0002,calib,single,1,1.0,84.0,
0.5B,arc,arc-0002,calib,vote,4,1.0,336.0,vote_k4
0.5B,arc,arc-0002,calib,oracle,4,1.0,336.0,oracle_k4
0.5B,arc,arc-0002,calib,judge,4,1.0,489.0,judge_k4
0.5B,arc,arc-0002,calib,vote,8,1.0,735.0,vote_k8
0.5B,arc,arc-0002,calib,oracle,8,1.0,735.0,oracle_k8
0.5B,arc,arc-0002,calib,judge,8,1.0,999.0,judge_k8
0.5B,arc,arc-0002,calib,seq,1,1.0,84.0,seq_r1
0.5B,arc,arc-0002,calib,seq,2,1.0,210.0,seq_r2
0.5B,arc,arc-0002,calib,seq,3,1.0,332.0,seq_r3
0.5B,arc,arc-0002,calib,seq,4,0.0,541.0,seq_r4
0.5B,arc,arc-0002,calib,long,2,1.0,298.0,long_m2
0.5B,arc,arc-0002,calib,long,4,1.0,298.0,long_m4
0.5B,arc,arc-0002,calib,debate,6,1.0,638.0,debate_a3r2
0.5B,arc,arc-0003,calib,single,1,1.0,212.0,
0.5B,arc,arc-0003,calib,vote,4,1.0,471.5,vote_k4
0.5B,arc,arc-0003,calib,oracle,4,1.0,471.5,oracle_k4
0.5B,arc,arc-0003,calib,judge,4,1.0,777.5,judge_k4
0.5B,arc,arc-0003,calib,vote,8,1.0,861.0,vote_k8
0.5B,arc,arc-0003,calib,oracle,8,1.0,861.0,oracle_k8
0.5B,arc,arc-0003,calib,judge,8,1.0,1291.0,judge_k8
0.5B,arc,arc-0003,calib,seq,1,1.0,212.0,seq_r1
0.5B,arc,arc-0003,calib,seq,2,1.0,462.0,seq_r2
0.5B,arc,arc-0003,calib,seq,3,1.0,637.0,seq_r3
0.5B,arc,arc-0003,calib,seq,4,1.0,812.0,seq_r4
