model,family,arch,pred_apriori,seq_gain_calib,pred_matched,matched_lift,pred_build,actually_helped
0.5B,arc,vote,0.033333333333333326,0.07500000000000001,-0.041666666666666685,-0.0222222222222222,False,False
0.5B,arc,judge,-0.00022833333333316386,0.07500000000000001,-0.07522833333333317,-0.0888888888888889,False,False
0.5B,csp,vote,0.03333333333333333,0.4125,-0.37916666666666665,-0.3333333333333333,False,False
0.5B,csp,judge,-3.08333333333341e-05,0.4125,-0.4125308333333333,-0.3555555555555555,False,False
0.5B,csp,prog,0.11249999999999999,0.4125,-0.3,-0.1999999999999999,False,False
0.5B,gsm8k,vote,0.13333333333333336,0.1291666666666667,0.004166666666666652,0.0555555555555555,True,True
0.5B,gsm8k,judge,0.000741666666666696,0.1291666666666667,-0.128425,-0.0555555555555555,False,False
0.5B,logic,vote,-0.06666666666666665,0.04583333333333334,-0.11249999999999999,0.0111111111111111,False,True
0.5B,logic,judge,-0.0002899999999999847,0.04583333333333334,-0.04612333333333332,0.0111111111111111,False,True
0.5B,mbpp,judge,0.00010333333333334416,0.0,0.00010333333333334416,0.0555555555555555,True,True
0.5B,mbpp,prog,0.18750000000000003,0.0,0.18750000000000003,0.2111111111111111,True,True
0.5B,wordcon,judge,0.00039583333333333137,0.0,0.00039583333333333137,-0.0111111111111111,True,False
0.5B,wordcon,prog,0.2708333333333333,0.0,0.2708333333333333,0.3888888888888889,True,True
1.5B,arc,vote,0.0,0.0,0.0,0.0111111111111111,False,True
1.5B,arc,judge,0.009600000000000053,0.0,0.009600000000000053,0.0,True,False
1.5B,csp,vote,0.06666666666666668,0.5708333333333333,-0.5041666666666667,-0.4111111111111111,False,False
1.5B,csp,judge,0.09041916666666663,0.5708333333333333,-0.4804141666666667,-0.4444444444444445,False,False
1.5B,csp,prog,0.27083333333333337,0.5708333333333333,-0.29999999999999993,-0.1666666666666666,False,False
1.5B,gsm8k,vote,0.30000000000000004,0.0,0.30000000000000004,0.1444444444444445,True,True
1.5B,gsm8k,judge,0.014756666666666418,0.0,0.014756666666666418,-0.0333333333333333,True,False
1.5B,logic,vote,0.0,0.19166666666666665,-0.19166666666666665,-0.0444444444444445,False,False
1.5B,logic,judge,0.017999999999999905,0.19166666666666665,-0.17366666666666675,-0.1111111111111111,False,False
1.5B,mbpp,judge,0.0931825,0.0625,0.0306825,-0.0111111111111111,True,False
1.5B,mbpp,prog,0.19583333333333336,0.0625,0.13333333333333336,0.1111111111111111,True,True
1.5B,wordcon,judge,-0.02871333333333333,0.012499999999999997,-0.041213333333333324,-0.0333333333333333,False,False
1.5B,wordcon,prog,0.3125,0.012499999999999997,0.3,0.3444444444444444,True,True
